Legacy_URL,Destination,Status,Source_or_reason,Verification
/blog/,/guides/,301,"Known former 404 and guide Phase 1 requirement","Verified on production 2026-07-29"
/feed/,/,301,"Existing Netlify redirect","Verified on production 2026-07-29"
/12-ft/,/our-caravans/,301,"Existing Netlify redirect","Verified on production 2026-07-29"
/15-ft/,/our-caravans/,301,"Existing Netlify redirect","Verified on production 2026-07-29"
/15-ft-pop-top/,/our-caravans/,301,"Existing Netlify redirect","Verified on production 2026-07-29"
/17-ft/,/our-caravans/,301,"Existing Netlify redirect","Verified on production 2026-07-29"
/advent-2150,/advent-2150-hardtop-slide-on/,301,"Existing Netlify redirect","Verified on production 2026-07-29"
/3-5m-truck-camper,/expedition/,301,"Former product destination is archived; nearest truthful category fallback","Corrected after production verification; verify after deployment"
/3-5m-truck-camper/,/expedition/,301,"Former product destination is archived; nearest truthful category fallback","Corrected after production verification; verify after deployment"
/15ft-truck-camper-combined-shower-toilet/,/expedition/,301,"Former product destination is archived; nearest truthful category fallback","Corrected after production verification; verify after deployment"
/4-6m-poptop-truck-camper-one-off/,/expedition/,301,"Former product destination is archived; nearest truthful category fallback","Corrected after production verification; verify after deployment"
/8ft-hardtop-slide-on/,/7ft-electric-poptop-slide-on/,301,"Existing Netlify redirect","Verified on production 2026-07-29"
UNKNOWN_HISTORICAL_BLOG_URLS,,Blocked,"Public search and Internet Archive CDX found the blog hub but no article paths; requires Search Console analytics former-CMS or backlink exports","Do not create blanket guessed article redirects"
