id,make,model,model_year_start,model_year_end,grade,cab_type,body_type,drivetrain,engine,transmission,certification_category,licence_class_note,wheelbase_mm,kerb_mass_kg,kerb_mass_basis,gvm_kg,gcm_kg,front_gawr_kg,rear_gawr_kg,published_payload_kg,payload_basis,braked_towing_kg,towball_limit_kg,usable_load_length_mm,usable_load_width_mm,cab_to_rear_axle_mm,source_id,source_locator,verification_status,customer_selectable,notes,payload_arithmetic_matches,source_url,source_published_date,source_accessed_date
chevrolet-silverado-1500-ltz-premium,Chevrolet,"Silverado 1500",2025,,"LTZ Premium",crew_cab,pickup_tub,4x4,,,NB1,"Standard light-vehicle licence subject to final configuration",,2552,"Manufacturer-published kerb mass",3300,7160,,1724,748,"Manufacturer-published maximum payload",4500,422,,,,gmsv-silverado-towing-au,"Silverado LTZ Premium towing glossary",source_verified,0,"Tub-compatible camper or engineered tray conversion only.",1,https://www.gmspecialtyvehicles.com/au-en/chevrolet/trucks/trailering-and-towing,,2026-08-17
chevrolet-silverado-1500-zr2,Chevrolet,"Silverado 1500",2025,,ZR2,crew_cab,pickup_tub,4x4,,,NB1,"Standard light-vehicle licence subject to final configuration",,2587,"Manufacturer-published kerb mass",3300,6851,,1724,713,"Manufacturer-published maximum payload",4200,400,,,,gmsv-silverado-towing-au,"Silverado ZR2 towing glossary",source_verified,0,"Tub-compatible camper or engineered tray conversion only.",1,https://www.gmspecialtyvehicles.com/au-en/chevrolet/trucks/trailering-and-towing,,2026-08-17
chevrolet-silverado-2500hd-ltz-nb1,Chevrolet,"Silverado 2500 HD",2025,,"LTZ Premium NB1",crew_cab,pickup_tub,4x4,"6.6L Duramax turbo-diesel V8","10-speed automatic",NB1,"Standard light-vehicle licence subject to final configuration",,3762,"Manufacturer-published kerb mass",4495,12474,,2994,733,"Manufacturer-published maximum payload under NB1",4500,450,,,,gmsv-silverado-towing-au,"Silverado HD LTZ Premium towing glossary: NB1",source_verified,0,"NB1 and NB2 are distinct certified configurations and must never be merged.",1,https://www.gmspecialtyvehicles.com/au-en/chevrolet/trucks/trailering-and-towing,,2026-08-17
chevrolet-silverado-2500hd-ltz-nb2,Chevrolet,"Silverado 2500 HD",2025,,"LTZ Premium NB2",crew_cab,pickup_tub,4x4,"6.6L Duramax turbo-diesel V8","10-speed automatic",NB2,"Heavy-vehicle licensing and registration implications require confirmation",,3762,"Manufacturer-published kerb mass",5148,12474,,2994,1386,"Manufacturer-published maximum payload under NB2",4500,450,,,,gmsv-silverado-towing-au,"Silverado HD LTZ Premium towing glossary: NB2",source_verified,0,"NB1 and NB2 are distinct certified configurations and must never be merged.",1,https://www.gmspecialtyvehicles.com/au-en/chevrolet/trucks/trailering-and-towing,,2026-08-17
ford-f-150-2024-lariat-5-5-ft-tub-swb,Ford,F-150,2024,,Lariat,crew_cab,pickup_tub,,"3.5L EcoBoost twin-turbo V6","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",3697,2546,"Published kerb weight",3315,7365,1633,1977,769,"Manufacturer-published GVM minus kerb",4500,,1700,1650,,ford-f150-my24-au,"Official – prior model-year detailed sheet: Lariat 5.5-ft tub (SWB)",source_verified,0,"Load body as published: 5.5-ft tub (SWB). Current Australian range is confirmed, but detailed masses and dimensions are from Ford Australia's official MY24 engineering sheet. Load-floor height 921 mm; top-of-tub length 1662 mm. Split-swing opening is 900 mm; conventional full tailgate width is 1525 mm. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://www.ford.com.au/content/dam/Ford/au/nameplate/f-150/brochures/f-150-spec-sheet-my24.pdf,,2026-08-18
ford-f-150-2024-lariat-6-5-ft-tub-lwb,Ford,F-150,2024,,Lariat,crew_cab,pickup_tub,,"3.5L EcoBoost twin-turbo V6","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",3997,2566,"Published kerb weight",3360,7410,1701,1977,794,"Manufacturer-published GVM minus kerb",4500,,2000,1650,,ford-f150-my24-au,"Official – prior model-year detailed sheet: Lariat 6.5-ft tub (LWB)",source_verified,0,"Load body as published: 6.5-ft tub (LWB). Current Australian range is confirmed, but detailed masses and dimensions are from Ford Australia's official MY24 engineering sheet. Load-floor height 921 mm; top-of-tub length 1962 mm. Split-swing opening is 900 mm; conventional full tailgate width is 1525 mm. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://www.ford.com.au/content/dam/Ford/au/nameplate/f-150/brochures/f-150-spec-sheet-my24.pdf,,2026-08-18
ford-f-150-2024-platinum-5-5-ft-tub-swb,Ford,F-150,2024,,Platinum,crew_cab,pickup_tub,,"3.5L EcoBoost twin-turbo V6","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",3697,2611,"Published kerb weight",3315,7365,1633,1977,704,"Manufacturer-published GVM minus kerb",4500,,1700,1650,,ford-f150-my24-au,"Official – prior model-year detailed sheet: Platinum 5.5-ft tub (SWB)",source_verified,0,"Load body as published: 5.5-ft tub (SWB). Current Australian range is confirmed, but detailed masses and dimensions are from Ford Australia's official MY24 engineering sheet. Load-floor height 921 mm; top-of-tub length 1662 mm. Split-swing opening is 900 mm; conventional full tailgate width is 1525 mm. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://www.ford.com.au/content/dam/Ford/au/nameplate/f-150/brochures/f-150-spec-sheet-my24.pdf,,2026-08-18
ford-f-150-2024-platinum-6-5-ft-tub-lwb,Ford,F-150,2024,,Platinum,crew_cab,pickup_tub,,"3.5L EcoBoost twin-turbo V6","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",3997,2636,"Published kerb weight",3360,7410,1701,1977,724,"Manufacturer-published GVM minus kerb",4500,,2000,1650,,ford-f150-my24-au,"Official – prior model-year detailed sheet: Platinum 6.5-ft tub (LWB)",source_verified,0,"Load body as published: 6.5-ft tub (LWB). Current Australian range is confirmed, but detailed masses and dimensions are from Ford Australia's official MY24 engineering sheet. Load-floor height 921 mm; top-of-tub length 1962 mm. Split-swing opening is 900 mm; conventional full tailgate width is 1525 mm. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://www.ford.com.au/content/dam/Ford/au/nameplate/f-150/brochures/f-150-spec-sheet-my24.pdf,,2026-08-18
ford-f-150-2024-xlt-5-5-ft-tub-swb,Ford,F-150,2024,,XLT,crew_cab,pickup_tub,,"3.5L EcoBoost twin-turbo V6","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",3697,2462,"Published kerb weight",3315,7365,1565,1977,853,"Manufacturer-published GVM minus kerb",4500,,1700,1650,,ford-f150-my24-au,"Official – prior model-year detailed sheet: XLT 5.5-ft tub (SWB)",source_verified,0,"Load body as published: 5.5-ft tub (SWB). Current Australian range is confirmed, but detailed masses and dimensions are from Ford Australia's official MY24 engineering sheet. Load-floor height 921 mm; top-of-tub length 1662 mm. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://www.ford.com.au/content/dam/Ford/au/nameplate/f-150/brochures/f-150-spec-sheet-my24.pdf,,2026-08-18
ford-f-150-2024-xlt-6-5-ft-tub-lwb,Ford,F-150,2024,,XLT,crew_cab,pickup_tub,,"3.5L EcoBoost twin-turbo V6","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",3997,2482,"Published kerb weight",3360,7410,1633,1977,878,"Manufacturer-published GVM minus kerb",4500,,2000,1650,,ford-f150-my24-au,"Official – prior model-year detailed sheet: XLT 6.5-ft tub (LWB)",source_verified,0,"Load body as published: 6.5-ft tub (LWB). Current Australian range is confirmed, but detailed masses and dimensions are from Ford Australia's official MY24 engineering sheet. Load-floor height 921 mm; top-of-tub length 1962 mm. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://www.ford.com.au/content/dam/Ford/au/nameplate/f-150/brochures/f-150-spec-sheet-my24.pdf,,2026-08-18
