id,manufacturer,title,url,published_date,accessed_date,source_type,market,notes
ford-ranger-super-duty-au,"Ford Australia","Ford Ranger Super Duty",https://www.ford.com.au/showroom/trucks-and-vans/ranger/super-duty/,,2026-08-17,manufacturer_webpage,AU,"Official product page; figures describe maximum or single-cab configuration and exclude tray."
ford-ranger-2022my-au,"Ford Australia","Next-Generation Ranger 2022MY Specifications",https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17,manufacturer_pdf,AU,"Official Australian launch specification brochure with per-variant mass tables, verified directly with exact payload arithmetic on every row. CURRENCY WARNING: this is the 2022MY document and the current Australian range is 2026.50MY, so every figure needs refreshing before customer exposure. Rows are source_verified because they were checked against this document; staleness is tracked in the coverage register and row notes, not in verification_status. Ford blocks automated retrieval; obtained manually. The 4x2 section in this document omits its Vehicle Masses page, so only 4x4 masses are recorded."
ford-f150-my24-au,"Ford Australia","F-150 MY24 Specification Sheet",https://www.ford.com.au/content/dam/Ford/au/nameplate/f-150/brochures/f-150-spec-sheet-my24.pdf,,2026-08-18,manufacturer_pdf,AU,"Official Australian MY24 specification sheet, supplied manually because ford.com.au blocks automated retrieval. Verified directly: GVM, GCM, kerb, payload, front and rear GAWR and wheelbase all match for both the 145-inch/5.5-foot and 157-inch/6.5-foot configurations. Ford states payload is derived by subtracting kerb weight from GVM, so its payload is a calculation. Currency caveat: this is the MY24 sheet while the range is currently listed."
ford-ranger-2026-50my-au,"Ford Australia","Ranger 2026.50MY Specifications Brochure",https://www.ford.com.au/content/dam/Ford/au/nameplate/ranger/brochure/specs-brochure/2026-50-my-ranger-brochure.pdf,,2026-08-18,manufacturer_pdf,AU,"NOT INDEPENDENTLY VERIFIED: ford.com.au blocks automated retrieval. Figures come from a supplied compilation with page-level locators. IMPORTANT: the stored kerb mass is Ford's lightest-orderable-equipment figure, which yields the LARGEST payload. On the 2022MY brochure the heavier options figure was up to 68 kg greater. Obtain the brochure and add the heavy-options kerb before any customer exposure."
fuso-canter-4x4-au,"Fuso Australia","Canter 4x4 Wide Cab",https://www.fuso.com.au/range/canter/4x4/wide-cab/,,2026-08-17,manufacturer_webpage,AU,"Official Australian model page; does not publish cab-chassis mass or axle limits."
gmsv-silverado-towing-au,GMSV,"Towing With Silverado",https://www.gmspecialtyvehicles.com/au-en/chevrolet/trucks/trailering-and-towing,,2026-08-17,manufacturer_webpage,AU,"Official Australian mass, payload, rear axle, towing and towball figures."
gwm-cannon-2026-au,"GWM Australia","Cannon 2026 Brochure",https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18,manufacturer_pdf,AU,"Official Australian 2026 brochure. Verified directly against the kerb weight, payload and GVM rows."
gwm-cannon-alpha-au,"GWM Australia","Cannon Alpha Brochure",https://assets.gwmanz.com/f/256395/x/43c46a95d0/cannon-alpha-brochure-au.pdf,,2026-08-18,manufacturer_pdf,AU,"Official Australian brochure. Verified directly. Two 3.0 turbo-diesel grades are listed without a mass table and are not recorded."
hino-300-817-4x4-spec-0822,Hino,"Hino 300 Series 817 4x4 and 817 4x4 Crew specification sheet (HS3008174x4-0822)",https://www.hino.com.au/uploads/pdf/specification/HS3008174x4-0822_WEB_(4).pdf,2022-08,2026-09-01,manufacturer_pdf,AU,"hino.com.au returned HTTP 403 to a direct fetch; the identical document was read from a mirrored copy at earthcruiser.net.au."
iveco-daily-4x4-my24-au,"IVECO Australia","New Daily 4x4 Specification Sheet",https://www.iveco.com/au/-/media/IVECOdotcom/Australia/Products/DailyMy24/Brochures/New-Daily-4x4-Spec-Sheet---Web-Version.pdf?rev=0fa977f9dcb94b2a930710f0f71e1b36,,2026-08-17,manufacturer_pdf,AU,"Official Australian specification sheet. Kerb includes chassis cab, 75 kg driver, full fuel, oils, tools and spare wheel where present."
