ID,Phase,Workstream,Deliverable,Dependency,Responsible,Status,Completed_or_due,Evidence_or_next_action
P0-01,0,Governance,"Registers and baseline files",None,Website team,Complete,2026-07-29,"docs/authority/"
P0-02,0,Technical baseline,"Repeatable local production crawl",P0-01,Website team,Complete,2026-07-29,"40 pages audited; zero findings in docs/authority/baselines/2026-07-29-local-crawl.json"
P0-03,0,Search baseline,"Google and Bing performance/indexing exports",P0-01,Account holder,Blocked,Unscheduled,"Grant read access or export requested reports"
P0-04,0,Evidence,"Claim evidence pack",P0-01,Owners,Complete,2026-07-29,"Identity experience compliance warranty and imported-shell completion scope confirmed"
P1-01,1,Entity identity,"Canonical organisation entity",P0-04,Website team,Complete,2026-07-29,"Owner-confirmed public brand plus approved contract seller identity"
P1-02,1,Brand consistency,"Beyond RV naming on public pages",P1-01,Website team,Complete,2026-07-29,"Authority crawl legacyBrandMentions is empty"
P1-03,1,Structured data,"Truthful offers and organisation references",P1-01,Website team,Complete,2026-07-29,"118 unit tests passed; built JSON-LD audit clean"
P1-04,1,Guide architecture,"Live /guides/ hub",P1-01,Website team,Complete,2026-07-29,"Built route schema crawl and desktop/mobile rendered checks passed"
P1-05,1,Internal links,"Homepage/category links to guide cluster",P1-04,Website team,Complete,2026-07-29,"Broken-link crawl returned zero findings"
P1-06,1,Legacy recovery,"Blog hub redirect and URL inventory",P1-04,Website team,Part complete,2026-07-29,"Deploy /blog/ redirect; obtain historical article URLs"
P1-07,1,Sitemap,"Material-change lastmod policy",P0-02,Website team,Complete,2026-07-29,"Built sitemap includes controlled dates only on recorded paths"
P1-08A,1,AI discovery,"Guides and tools in llms references",P1-04,Website team,Complete,2026-07-29,"public/llms.txt and public/llms-full.txt; robots reviewed"
P1-08,1,Discovery,"IndexNow utility",P1-04,Website team,Local preparation complete,2026-07-29,"Deploy key file before explicit live submission"
P1-09,1,Webmaster tools,"Sitemap submission and recrawl",P1-04,Account holder,Blocked,Unscheduled,"Production deploy plus Search Console/Bing access"
