Claim_ID,Claim,Current_public_locations,Risk,Current_evidence,State,Required_action,Owner
C-001,"Public brand is Beyond RV","Site-wide titles copy and schema",Medium,"Owner confirmation received 2026-07-29",Confirmed,"Use Beyond RV consistently as the public brand",Owners
C-002,"Business contact is 0430 863 819 and beyondcaravans@gmail.com","Header/footer/schema/contact pages",Medium,"Approved seller record in contract generator",Confirmed,"Keep public records consistent",Owners
C-003,"Workshop address is 77 Coleyville Rd Mutdapilly QLD 4307","Footer/schema/about/contact",Medium,"Approved seller record in contract generator",Confirmed,"Keep public records consistent",Owners
C-004,"15 years of RV experience","Homepage hero/story/about/chatbot knowledge",High,"Owner confirmation received 2026-07-29",Confirmed,"Use the precise 15-year wording",Owners
C-005,"100% Queensland finished / Queensland built","Former homepage/about/custom/expedition/chatbot/recent-build locations",High,"No product-scoped evidence found in repository",Unverified,"Blocked public wording removed; define exact process and product scope before restoring any origin claim",Owners
C-006,"Every completed caravan camper and motorhome is built to applicable ADR requirements","Homepage/footer/FAQ",Critical,"Owner confirmation received 2026-07-29",Confirmed,"Keep wording scoped to units Beyond RV completes",Owners/technical reviewer
C-007,"Every completed caravan camper and motorhome receives QLD gas and 240V certification","Product content and general compliance copy",Critical,"Owner confirmation received 2026-07-29",Confirmed,"Keep wording scoped to completed units and retain build-specific records operationally",Owners/technical reviewer
C-008,"Five-year construction warranty; individual appliances retain manufacturer warranties","Warranty page and product content",High,"Owner confirmation received 2026-07-29; contract terms draft specifies 60 months",Confirmed,"Use construction warranty wording rather than a blanket manufacturer warranty",Owners
C-009,"Products are manufactured/built by Beyond RV","Homepage and general copy",High,"Repository shows mixed sourceType values including imported/local supplier",Potentially misleading,"Public wording narrowed where it implied Queensland origin; approve precise verbs by product: designs/builds/finishes/fits/supplies",Owners
C-010,"Product prices and availability are current","Product content and Offer schema",High,"Repository values only; no dated source record",Needs operational verification,"Assign monthly price/stock owner and record source date",Sales owner
C-011,"Free shipping zero handling/transit and no returns","Former Offer schema defaults",Critical,"No evidence and conflicts with quote/pickup workflows",Removed,2026-07-29,"Do not restore without verified policy data",Website team
